# table of mode parameters for star 00770 (Python indexed) from S4TESS (https://github.com/warrickball/s4tess)
# in the format of an input file for AADG3 (https://warrickball.github.io/AADG3)
#l       n            freq           width           power             dcyc
 0       8   9.4211300e+02   8.9591284e-01   2.6219629e-04   0.00000000e+00
 0       9   1.0500941e+03   1.1448697e+00   1.2931587e-03   0.00000000e+00
 0      10   1.1567888e+03   1.3849038e+00   5.4727824e-03   0.00000000e+00
 0      11   1.2618420e+03   1.5939497e+00   1.9887938e-02   0.00000000e+00
 0      12   1.3636267e+03   1.7520713e+00   6.1380351e-02   0.00000000e+00
 0      13   1.4641287e+03   1.8531421e+00   1.6581787e-01   0.00000000e+00
 0      14   1.5653848e+03   1.8966981e+00   4.0045228e-01   0.00000000e+00
 0      15   1.6680028e+03   1.8895527e+00   8.6586169e-01   0.00000000e+00
 0      16   1.7708992e+03   1.8498926e+00   1.6577168e+00   0.00000000e+00
 0      17   1.8726910e+03   1.8047418e+00   2.7899085e+00   0.00000000e+00
 0      18   1.9737686e+03   1.7818690e+00   4.1492372e+00   0.00000000e+00
 0      19   2.0748702e+03   1.8073982e+00   5.4756671e+00   0.00000000e+00
 0      20   2.1772568e+03   1.9081796e+00   6.4192728e+00   0.00000000e+00
 0      21   2.2804192e+03   2.1127333e+00   6.6552605e+00   0.00000000e+00
 0      22   2.3841500e+03   2.4535692e+00   6.0867656e+00   0.00000000e+00
 0      23   2.4876907e+03   2.9659022e+00   4.9106112e+00   0.00000000e+00
 0      24   2.5911722e+03   3.6932223e+00   3.4953513e+00   0.00000000e+00
 0      25   2.6945237e+03   4.6829476e+00   2.1963567e+00   0.00000000e+00
 0      26   2.7981796e+03   5.9911946e+00   1.2155857e+00   0.00000000e+00
 0      27   2.9021366e+03   7.6718635e+00   5.9192834e-01   0.00000000e+00
 0      28   3.0063538e+03   9.7756553e+00   2.5341426e-01   0.00000000e+00
 0      29   3.1106664e+03   1.2344926e+01   9.5449181e-02   0.00000000e+00
 0      30   3.2149988e+03   1.5416363e+01   3.1645198e-02   0.00000000e+00
 0      31   3.3193211e+03   1.9021204e+01   9.2377730e-03   0.00000000e+00
 0      32   3.4235438e+03   2.3182458e+01   2.3773750e-03   0.00000000e+00
 1       7   8.8570614e+02   8.3268927e-01   1.1662953e-04   0.00000000e+00
 1       8   9.9310271e+02   1.0715224e+00   5.9940533e-04   0.00000000e+00
 1       9   1.1001455e+03   1.3407475e+00   2.7536793e-03   0.00000000e+00
 1      10   1.2062366e+03   1.5851039e+00   1.0874960e-02   0.00000000e+00
 1      11   1.3093991e+03   1.7894714e+00   3.6537569e-02   0.00000000e+00
 1      12   1.4104258e+03   1.8959334e+00   1.0385127e-01   0.00000000e+00
 1      13   1.5108025e+03   1.9289737e+00   2.5925120e-01   0.00000000e+00
 1      14   1.6129750e+03   1.9216064e+00   5.8842318e-01   0.00000000e+00
 1      15   1.7157837e+03   1.8916273e+00   1.2002176e+00   0.00000000e+00
 1      16   1.8184534e+03   1.8606128e+00   2.1847782e+00   0.00000000e+00
